"full.name","PA","run","algo","metric.eval","cutoff","sensitivity","specificity","calibration","validation","evaluation"
"Amyelois.transitella_PA1_RUN4_FDA","PA1","RUN4","FDA","KAPPA",449,57.143,97.279,0.618,0.092,NA
"Amyelois.transitella_PA1_RUN4_GAM","PA1","RUN4","GAM","TSS",874,100,94.558,0.946,0.031,NA
"Amyelois.transitella_PA1_RUN4_GAM","PA1","RUN4","GAM","AUCroc",869,100,94.558,0.973,0.511,NA
"Amyelois.transitella_PA1_RUN4_GAM","PA1","RUN4","GAM","KAPPA",874,100,94.558,0.87,0.006,NA
"Amyelois.transitella_PA1_RUN4_GBM","PA1","RUN4","GBM","TSS",595.5,100,91.156,0.912,0.249,NA
"Amyelois.transitella_PA1_RUN4_GBM","PA1","RUN4","GBM","AUCroc",655,97.143,93.878,0.989,0.68,NA
"Amyelois.transitella_PA1_RUN4_GBM","PA1","RUN4","GBM","KAPPA",746,88.571,96.599,0.843,0.152,NA
"Amyelois.transitella_PA1_RUN4_MARS","PA1","RUN4","MARS","TSS",873,82.857,76.871,0.597,0.324,NA
"Amyelois.transitella_PA1_RUN4_MARS","PA1","RUN4","MARS","AUCroc",870.5,85.714,76.871,0.874,0.693,NA
"Amyelois.transitella_PA1_RUN4_MARS","PA1","RUN4","MARS","KAPPA",963,42.857,97.959,0.486,0,NA
"Amyelois.transitella_PA1_RUN4_MAXNET","PA1","RUN4","MAXNET","TSS",461.5,74.286,87.075,0.614,0.313,NA
"Amyelois.transitella_PA1_RUN4_MAXNET","PA1","RUN4","MAXNET","AUCroc",439.5,77.143,83.673,0.879,0.599,NA
"Amyelois.transitella_PA1_RUN4_MAXNET","PA1","RUN4","MAXNET","KAPPA",580.5,54.286,97.959,0.609,0.263,NA
"Amyelois.transitella_PA1_RUN4_RF","PA1","RUN4","RF","TSS",337,100,100,1,0.146,NA
"Amyelois.transitella_PA1_RUN4_RF","PA1","RUN4","RF","AUCroc",337,100,100,1,0.571,NA
"Amyelois.transitella_PA1_RUN4_RF","PA1","RUN4","RF","KAPPA",337,100,100,1,0.11,NA
"Amyelois.transitella_PA1_RUN4_SRE","PA1","RUN4","SRE","TSS",505,74.286,74.15,0.484,0.329,NA
"Amyelois.transitella_PA1_RUN4_SRE","PA1","RUN4","SRE","AUCroc",500,74.286,74.15,0.742,0.664,NA
"Amyelois.transitella_PA1_RUN4_SRE","PA1","RUN4","SRE","KAPPA",505,74.286,74.15,0.368,0.393,NA
